lap,lap_time,avg_speed_kmh,max_speed_kmh,sector1_time,sector2_time,sector3_time
1,92.325,159.9,194.9,25.851,38.776,27.698
2,92.032,160.4,196.6,25.769,38.653,27.61
3,92.788,159.1,195.4,25.981,38.971,27.836
4,95.53,154.5,198.0,26.748,40.123,28.659
5,95.901,153.9,194.4,26.852,40.278,28.771
6,92.597,159.4,194.8,25.927,38.891,27.779
7,92.973,158.8,198.1,26.032,39.049,27.892
8,92.305,159.9,207.0,25.845,38.768,27.692
9,91.998,160.4,206.9,25.759,38.639,27.6
10,95.515,154.5,208.2,26.744,40.116,28.655
11,92.487,159.6,209.0,25.896,38.845,27.746
12,91.31,161.6,201.7,25.567,38.35,27.393
13,92.15,160.2,190.4,25.802,38.703,27.645
14,92.065,160.3,215.0,25.778,38.667,27.62
15,92.495,159.6,201.2,25.899,38.848,27.748
